href,name,cuisine,price_4_two
https://www.swiggy.com/restaurants/hotel-aditya-mahalakshmipuram-mahalaxmipuram-basaveshwaranagar-bangalore-495520,Hotel Aditya (Mahalakshmipuram),"North Indian, South Indian, Biryani",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/idc-kitchen-sri-rammandir-road-residency-road-bangalore-335405,IDC Kitchen,"South Indian, North Indian, Indian",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/natraj-chole-bhature-1st-stage-indiranagar-bangalore-329805,NATRAJ Chole bhature,Indian,â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/halli-jonne-biriyani-4th-t-block-jayanagar-bangalore-145076,Halli Jonne Biriyani,"South Indian, Biryani",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/sri-udupi-sagar-gangothri-circle-btm-layout-bangalore-289694,Sri Udupi Sagar,"South Indian, North Indian, Chinese",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/hotel-kadamba-veg-basaveshwara-nagar-rajajinagar-bangalore-55176,Hotel Kadamba Veg,"South Indian, North Indian, Chinese, Sweets",â‚¹350 FOR TWO
https://www.swiggy.com/restaurants/kullad-cafe-2nd-stage-btm-layout-bangalore-16197,Kullad Cafe,"North Indian, Beverages",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/the-filter-coffee-80-feet-road-indiranagar-bangalore-682268,The Filter Coffee,"South Indian, Beverages, Desserts",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/ganesh-food-joint-jayamahal-extension-frazer-town-bangalore-58445,Ganesh Food Joint,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/slv-swadishta-south-indian-2nd-stage-banashankari-bangalore-1754,SLV Swadishta (South Indian),South Indian,â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/south-idlis-tank-bund-road-rajajinagar-bangalore-15895,South Idlis,"South Indian, Chinese",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/brahmins-coffee-bar-shankarapura-basavanagudi-bangalore-111261,Brahmin's Coffee Bar,South Indian,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/welcome-upahara-3rd-phase-jp-nagar-bangalore-176923,Welcome Upahara,"South Indian, North Indian",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/anna-kuteera-3rd-stage-banashankari-bangalore-15869,Anna Kuteera,"South Indian, North Indian, Chinese, Juices",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/udupi-park-in-vinayakanagar-hebbal-bangalore-602668,UDUPI PARK IN,"Beverages, Indian, Fast Food",â‚¹70 FOR TWO
https://www.swiggy.com/restaurants/nammura-upachara-west-of-chord-road-rajajinagar-bangalore-110506,Nammura Upachara,"South Indian, Chinese, North Indian",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/shanti-sagar-tank-road-ulsoor-bangalore-58197,Shanti Sagar,"South Indian, North Indian, Chinese",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/thalassery-restaurant-mathikere-yeshwantpur-bangalore-27212,Thalassery Restaurant,"South Indian, Arabian, Chinese, Kerala, North Indian",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/rampyari-chaiwala-netaji-bhajiawala-2nd-stage-btm-layout-bangalore-383072,Rampyari Chaiwala Netaji Bhajiawala,"Chaat, Snacks, Street Food, Indian",â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/by-2-coffee-chamrajpet-chamarajpet-bangalore-85320,By 2 Coffee,South Indian,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/new-alameen-restaurant-bazaar-street-halasuru-bangalore-130367,New Alameen Restaurant,"Biryani, Kerala, Meat, North Indian, South Indian",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/sukh-sagar-5th-a-block-koramangala-bangalore-30458,Sukh Sagar,South Indian,â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/mcdonalds-mantri-square-mall-malleshwaram-bangalore-63317,McDonald's,"Burgers, Beverages, Cafe, Desserts",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/holige-mane-bashyam-circle-rajajinagar-bangalore-164061,Holige Mane,Sweets,â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/sri-nayvedya-veg-4th-block-jayanagar-bangalore-476261,SRI NAYVEDYA VEG,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/kota-kachori-and-falahaar-9th-block-jayanagar-bangalore-424730,Kota Kachori And Falahaar,"North Indian, Snacks, Desserts, Sweets, Chaat, Rajasthani, Beverages",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/namma-madurai-new-thipasandra-indiranagar-bangalore-135302,Namma Madurai,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/kanti-sweets-brigade-road-ashok-nagar-bangalore-48230,Kanti Sweets,Sweets,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/sri-udupi-vaibhav-1st-stage-indiranagar-bangalore-308538,SRI UDUPI VAIBHAV,"South Indian, North Indian, Chinese",â‚¹199 FOR TWO
https://www.swiggy.com/restaurants/namma-s-l-n-2nd-block-jayanagar-bangalore-552167,NAMMA S.L.N,"South Indian, Indian",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/gowdru-hotel-appareddy-palya-indiranagar-bangalore-54408,Gowdru Hotel,South Indian,â‚¹149 FOR TWO
https://www.swiggy.com/restaurants/sri-raghavendra-davanagere-benne-dose-hotel-1st-phase-jp-nagar-bangalore-122310,Sri Raghavendra Davanagere Benne Dose Hotel,South Indian,â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/sangam-mess-chinnappa-layout-kammanahalli-kalyan-nagar-bangalore-132930,Sangam Mess,"Kerala, South Indian, Biryani, Seafood, Beverages",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/new-udupi-upahar-5th-block-jayanagar-bangalore-109504,New Udupi Upahar,"South Indian, North Indian, Chinese, Chaat, Juices, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/rotti-walla-appareddy-palya-indiranagar-bangalore-48581,Rotti Walla,"North Indian, Chinese, Snacks, Beverages, Tandoor",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/slv-ragigudda-9th-block-jayanagar-bangalore-21954,SLV Ragigudda,"North Indian, Chinese, South Indian",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/upahara-darshini-3rd-block-jayanagar-bangalore-95586,Upahara Darshini,"Chinese, South Indian, North Indian, Desserts, Fast Food",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/mr-tea-maruti-nagar-btm-layout-bangalore-405531,Mr. Tea,"Snacks, Indian",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/kfc-double-road-shanti-nagar-bangalore-432976,KFC,"Burgers, Biryani, American, Snacks, Fast Food",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/freshmenu-johnson-market-richmond-road-bangalore-6924,FreshMenu,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/tapas-hideout-hal-2nd-stage-indiranagar-bangalore-253455,TAPAS HIDEOUT,"North Indian, Snacks",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/rolls-kitchen-longford-road-shanti-nagar-bangalore-6518,Rolls Kitchen,Fast Food,â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/coffee-cafe-1st-stage-basaveshwara-nagar-bangalore-321873,Coffee Cafe,Beverages,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/new-shanti-sagar-3rd-block-rajajinagar-bangalore-40443,New Shanti Sagar,"South Indian, Chinese, North Indian, Fast Food",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/park-view-restaurant-3rd-phase-jp-nagar-bangalore-67683,Park View Restaurant,"Chinese, South Indian, North Indian, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/onesta-sampige-road-malleshwaram-bangalore-655141,ONESTA,"Italian, Desserts, Pizzas",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/bakingo-mv-jayanthi-road-vasanth-nagar-bangalore-570511,Bakingo,"Bakery, Desserts, Beverages, Snacks",â‚¹299 FOR TWO
https://www.swiggy.com/restaurants/south-kitchen-nr-colony-basavanagudi-bangalore-59590,South Kitchen,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/jay-jaganath-bengali-mess-1st-stage-gokul-mathikere-bangalore-155513,Jay Jaganath Bengali Mess,North Indian,â‚¹280 FOR TWO
https://www.swiggy.com/restaurants/sendhoor-coffee-new-thipasandra-indiranagar-bangalore-440174,Sendhoor Coffee,"South Indian, Beverages",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/ayodhya-sagara-beml-layout-basaveshwara-nagar-bangalore-60852,Ayodhya Sagara,"Chinese, South Indian, North Indian, Desserts, Beverages, Mughlai",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/sanman-restaurant-nehru-nagar-malleshwaram-bangalore-486189,Sanman Restaurant,"South Indian, Indian, Chinese",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/new-shanti-upahar-4th-t-block-jayanagar-bangalore-204706,New Shanti Upahar,South Indian,â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-5th-cross-wilson-garden-bangalore-317934,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/chinese-wok-sampige-road-malleshwaram-bangalore-405798,Chinese Wok,"Chinese, Asian, Tibetan, Desserts",â‚¹250 FOR TWO
